id_barrio_local,superficie_total
106,5817.65
504,4622.34
705,4557.95
401,4135.01
703,4058.0
602,3992.92
1007,3985.6
101,3941.33
505,3936.2599999999998
502,3778.5299999999997
1604,3569.62
304,3568.34
806,3519.24
202,3461.64
501,3458.94
704,3385.23
1004,3350.04
1403,3330.41
402,3319.92
2005,3209.7400000000002
804,3200.18
706,2963.61
206,2922.22
702,2880.67
405,2854.88
1705,2810.7200000000003
1803,2794.01
406,2738.87
1801,2641.56
701,2503.78
102,2499.47
603,2283.06
1606,2172.37
902,2171.54
1305,2150.36
301,2092.12
105,2089.17
503,2083.43
1106,1909.12
1603,1904.98
1304,1895.57
1102,1890.45
1104,1849.91
103,1844.78
1303,1843.86
201,1813.42
1002,1794.23
104,1792.33
404,1747.17
1704,1717.09
204,1713.8899999999999
901,1707.73
506,1652.54
1301,1624.0
803,1590.0900000000001
2001,1582.88
305,1566.29
203,1566.2
205,1558.93
1802,1523.31
1504,1484.27
1306,1447.83
1205,1438.02
1701,1387.42
807,1362.02
1502,1356.3
1501,1330.55
808,1325.02
1302,1302.67
2004,1143.56
306,1126.24
1201,1120.67
1901,1103.39
606,1052.85
1406,1024.16
1703,1019.87
2007,956.14
1003,945.9
1107,938.32
1702,893.81
1902,893.0
805,891.97
1404,846.04
2104,836.49
2103,826.08
1503,791.85
1203,775.59
605,766.68
1401,741.88
1103,730.65
1206,729.86
903,721.51
1204,686.48
2101,677.16
403,665.01
1602,660.46
907,655.3199999999999
1105,654.3
303,640.07
801,634.3
2003,624.85
1509,607.51
604,603.1
302,591.68
1101,581.12
904,567.64
1405,550.39
1506,549.97
1202,519.45
1601,489.86999999999995
601,464.13
1005,462.31
2008,422.07
1001,420.26
1402,374.71000000000004
2105,373.58
1505,357.13
1605,334.07
1903,279.39
2002,277.94
1207,231.36
2006,188.0
207,173.88
905,132.19
1507,109.0
1904,56.02
1006,46.05
2102,41.28
